barrio_codigo,anio,precio_eur_m2,n_subzonas
033,2008,4066.0,1
033,2009,3950.0,1
033,2010,3817.0,1
033,2011,3595.0,1
033,2012,3111.0,1
033,2013,2847.0,1
033,2014,2831.0,1
033,2015,3083.0,1
033,2016,3003.0,1
034,2001,2726.0,1
034,2002,3374.0,1
034,2003,4201.0,1
034,2004,4515.0,1
034,2005,4582.0,1
034,2006,4991.0,1
034,2007,4953.0,1
034,2008,4759.0,1
034,2009,4622.0,1
034,2010,4253.0,1
034,2011,4130.0,1
034,2012,3605.0,1
034,2013,3478.0,1
034,2014,3595.0,1
034,2015,3756.0,1
034,2016,3939.0,1
035,2001,3442.0,1
035,2002,4640.0,1
035,2003,4665.0,1
035,2004,4595.0,1
035,2005,5190.0,1
035,2006,5795.0,1
035,2007,5790.0,1
035,2008,5880.0,1
035,2009,6053.0,1
035,2010,6754.0,1
035,2011,6233.0,1
035,2012,5415.0,1
035,2013,4973.0,1
035,2014,4765.0,1
035,2015,5035.0,1
035,2016,5246.0,1
036,2001,3084.0,1
036,2002,3879.0,1
036,2003,4025.0,1
036,2004,4583.0,1
036,2005,4638.0,1
036,2006,4916.0,1
036,2007,5284.0,1
036,2008,4746.0,1
036,2009,4537.0,1
036,2010,4514.0,1
036,2011,4094.0,1
036,2012,3535.0,1
036,2013,3398.0,1
036,2014,3458.0,1
036,2015,3460.0,1
036,2016,3586.0,1
041,2001,3423.0,1
041,2002,4369.0,1
041,2003,5584.0,1
041,2004,5543.0,1
041,2005,6055.0,1
041,2006,7015.0,1
041,2007,7084.0,1
041,2008,6965.0,1
041,2009,6523.0,1
041,2010,6435.0,1
041,2011,5998.0,1
041,2012,5452.0,1
041,2013,5440.0,1
041,2014,5578.0,1
041,2015,5843.0,1
041,2016,6144.0,1
042,2001,2962.0,1
042,2002,3801.0,1
042,2003,4194.0,1
042,2004,4705.0,1
042,2005,4637.0,1
042,2006,5121.0,1
042,2007,5328.0,1
042,2008,5030.0,1
042,2009,4808.0,1
042,2010,4667.0,1
042,2011,4349.0,1
042,2012,3851.0,1
042,2013,3713.0,1
042,2014,3819.0,1
042,2015,4097.0,1
042,2016,4213.0,1
043,2001,2527.0,1
043,2002,3185.0,1
043,2003,3751.0,1
043,2004,4055.0,1
043,2005,4239.0,1
043,2006,4518.0,1
043,2007,4678.0,1
043,2008,4187.0,1
043,2009,4026.0,1
043,2010,3986.0,1
043,2011,3525.0,1
043,2012,3095.0,1
043,2013,2910.0,1
043,2014,2876.0,1
043,2015,2985.0,1
043,2016,3156.0,1
044,2001,2507.0,1
044,2002,3116.0,1
044,2003,3575.0,1
044,2004,3795.0,1
044,2005,4120.0,1
044,2006,4415.0,1
044,2007,4557.0,1
044,2008,4092.0,1
044,2009,4035.0,1
044,2010,3850.0,1
044,2011,3515.0,1
044,2012,3120.0,1
044,2013,2948.0,1
044,2014,2863.0,1
044,2015,2990.0,1
044,2016,3055.0,1
045,2001,3019.0,1
045,2002,3898.0,1
045,2003,4192.0,1
045,2004,4682.0,1
045,2005,4961.0,1
045,2006,5299.0,1
045,2007,5483.0,1
045,2008,5196.0,1
045,2009,4853.0,1
045,2010,4922.0,1
045,2011,4543.0,1
045,2012,4003.0,1
045,2013,3873.0,1
045,2014,3989.0,1
045,2015,4024.0,1
045,2016,4465.0,1
046,2001,4202.0,1
046,2002,4452.0,1
046,2003,4983.0,1
046,2004,5376.0,1
046,2005,5591.0,1
046,2006,6135.0,1
046,2007,6237.0,1
046,2008,6973.0,1
046,2009,6344.0,1
046,2010,6001.0,1
046,2011,5836.0,1
046,2012,5158.0,1
046,2013,5077.0,1
046,2014,4898.0,1
046,2015,5036.0,1
046,2016,5445.0,1
051,2001,3814.0,1
051,2002,4328.0,1
051,2003,4432.0,1
051,2004,5173.0,1
051,2005,5510.0,1
051,2006,6249.0,1
051,2007,6274.0,1
051,2008,6439.0,1
051,2009,6123.0,1
051,2010,5785.0,1
051,2011,5623.0,1
051,2012,5021.0,1
051,2013,4482.0,1
051,2014,4459.0,1
051,2015,4545.0,1
051,2016,4919.0,1
052,2001,2702.0,1
052,2002,3401.0,1
052,2003,3720.0,1
052,2004,3869.0,1
052,2005,4245.0,1
052,2006,4345.0,1
052,2007,4619.0,1
052,2008,4223.0,1
052,2009,4018.0,1
052,2010,3950.0,1
052,2011,3640.0,1
052,2012,3119.0,1
052,2013,2971.0,1
052,2014,3006.0,1
052,2015,2988.0,1
052,2016,3302.0,1
053,2001,2547.0,1
053,2002,3382.0,1
053,2003,3827.0,1
053,2004,4009.0,1
053,2005,4286.0,1
053,2006,4691.0,1
053,2007,4785.0,1
053,2008,4227.0,1
053,2009,4009.0,1
053,2010,3903.0,1
053,2011,3488.0,1
053,2012,3235.0,1
053,2013,3182.0,1
053,2014,2839.0,1
053,2015,3055.0,1
053,2016,3416.0,1
054,2001,3198.0,1
054,2002,3982.0,1
054,2003,4462.0,1
054,2004,4852.0,1
054,2005,5129.0,1
054,2006,5252.0,1
054,2007,5663.0,1
054,2008,5740.0,1
054,2009,5223.0,1
054,2010,4933.0,1
054,2011,4675.0,1
054,2012,4289.0,1
054,2013,3804.0,1
054,2014,3765.0,1
054,2015,3826.0,1
054,2016,4047.0,1
055,2001,3467.0,1
055,2002,4264.0,1
055,2003,5003.0,1
055,2004,4935.0,1
055,2005,5533.0,1
055,2006,5576.0,1
055,2007,5916.0,1
055,2008,5880.0,1
055,2009,5727.0,1
055,2010,5374.0,1
055,2011,5011.0,1
055,2012,4471.0,1
055,2013,4236.0,1
055,2014,4186.0,1
055,2015,4278.0,1
055,2016,4416.0,1
056,2001,2848.0,1
056,2002,3160.0,1
056,2003,3806.0,1
056,2004,4076.0,1
056,2005,4486.0,1
056,2006,4701.0,1
056,2007,4884.0,1
056,2008,4437.0,1
056,2009,4176.0,1
056,2010,4200.0,1
056,2011,3849.0,1
056,2012,3300.0,1
056,2013,3123.0,1
056,2014,3015.0,1
056,2015,3163.0,1
056,2016,3165.0,1
061,2001,2091.0,1
061,2002,2821.0,1
061,2003,3210.0,1
061,2004,3523.0,1
061,2005,3895.0,1
061,2006,4024.0,1
061,2007,3914.0,1
061,2008,3508.0,1
061,2009,3278.0,1
061,2010,3053.0,1
061,2011,2868.0,1
061,2012,2449.0,1
061,2013,2381.0,1
061,2014,2200.0,1
061,2015,2294.0,1
061,2016,2426.0,1
062,2001,2864.0,1
062,2002,3621.0,1
062,2003,3851.0,1
062,2004,4152.0,1
062,2005,4312.0,1
062,2006,4536.0,1
062,2007,4383.0,1
062,2008,4285.0,1
062,2009,4059.0,1
062,2010,3922.0,1
062,2011,3662.0,1
062,2012,3134.0,1
062,2013,3011.0,1
062,2014,2879.0,1
062,2015,3035.0,1
062,2016,3296.0,1
063,2001,2931.0,1
063,2002,3576.0,1
063,2003,3943.0,1
063,2004,4412.0,1
063,2005,4494.0,1
063,2006,5049.0,1
063,2007,4815.0,1
063,2008,4604.0,1
063,2009,4239.0,1
063,2010,4280.0,1
063,2011,3895.0,1
063,2012,3412.0,1
063,2013,3099.0,1
063,2014,3150.0,1
063,2015,3275.0,1
063,2016,3476.0,1
064,2001,2268.0,1
064,2002,3023.0,1
064,2003,3382.0,1
064,2004,3638.0,1
064,2005,3879.0,1
064,2006,4027.0,1
064,2007,4104.0,1
064,2008,3607.0,1
064,2009,3563.0,1
064,2010,3315.0,1
064,2011,2980.0,1
064,2012,2593.0,1
064,2013,2386.0,1
064,2014,2235.0,1
064,2015,2140.0,1
064,2016,2407.0,1
065,2001,2200.0,1
065,2002,2814.0,1
065,2003,3257.0,1
065,2004,3475.0,1
065,2005,3743.0,1
065,2006,3918.0,1
065,2007,4003.0,1
065,2008,3554.0,1
065,2009,3360.0,1
065,2010,3285.0,1
065,2011,2896.0,1
065,2012,2456.0,1
065,2013,2317.0,1
065,2014,2161.0,1
065,2015,2198.0,1
065,2016,2262.0,1
066,2001,2168.0,1
066,2002,2877.0,1
066,2003,3208.0,1
066,2004,3573.0,1
066,2005,3733.0,1
066,2006,4012.0,1
066,2007,4001.0,1
066,2008,3360.0,1
066,2009,3181.0,1
066,2010,3078.0,1
066,2011,2842.0,1
066,2012,2608.0,1
066,2013,2306.0,1
066,2014,2159.0,1
066,2015,2236.0,1
066,2016,2394.0,1
071,2001,2583.0,1
071,2002,3285.0,1
071,2003,4046.0,1
071,2004,4293.0,1
071,2005,4634.0,1
071,2006,4760.0,1
071,2007,5068.0,1
071,2008,4555.0,1
071,2009,4198.0,1
071,2010,4210.0,1
071,2011,3919.0,1
071,2012,3258.0,1
071,2013,3250.0,1
071,2014,3095.0,1
071,2015,3343.0,1
071,2016,3649.0,1
072,2001,2668.0,1
072,2002,3498.0,1
072,2003,4010.0,1
072,2004,4369.0,1
072,2005,4547.0,1
072,2006,5043.0,1
072,2007,5125.0,1
072,2008,4498.0,1
072,2009,4434.0,1
072,2010,4303.0,1
072,2011,3898.0,1
072,2012,3417.0,1
072,2013,3234.0,1
072,2014,3479.0,1
072,2015,3629.0,1
072,2016,3885.0,1
073,2001,2920.0,1
073,2002,3511.0,1
073,2003,4107.0,1
073,2004,4501.0,1
073,2005,5037.0,1
073,2006,5224.0,1
073,2007,5401.0,1
073,2008,4971.0,1
073,2009,4731.0,1
073,2010,4524.0,1
073,2011,4068.0,1
073,2012,3705.0,1
073,2013,3421.0,1
073,2014,3503.0,1
073,2015,3782.0,1
073,2016,4047.0,1
074,2001,3308.0,1
074,2002,4247.0,1
074,2003,5057.0,1
074,2004,5141.0,1
074,2005,5727.0,1
074,2006,6164.0,1
074,2007,6191.0,1
074,2008,6243.0,1
074,2009,6275.0,1
074,2010,5786.0,1
074,2011,5611.0,1
074,2012,4908.0,1
074,2013,4470.0,1
074,2014,4527.0,1
074,2015,4460.0,1
074,2016,4989.0,1
075,2001,2939.0,1
075,2002,3678.0,1
075,2003,4297.0,1
075,2004,4403.0,1
075,2005,4406.0,1
075,2006,4966.0,1
075,2007,5243.0,1
075,2008,4731.0,1
075,2009,4629.0,1
075,2010,4408.0,1
075,2011,4085.0,1
075,2012,3589.0,1
075,2013,3403.0,1
075,2014,3417.0,1
075,2015,3643.0,1
075,2016,3920.0,1
076,2001,3016.0,1
076,2002,3191.0,1
076,2003,4201.0,1
076,2004,4445.0,1
076,2005,4671.0,1
076,2006,4673.0,1
076,2007,5066.0,1
076,2008,4756.0,1
076,2009,4473.0,1
076,2010,4413.0,1
076,2011,3951.0,1
076,2012,3588.0,1
076,2013,3353.0,1
076,2014,3317.0,1
076,2015,3353.0,1
076,2016,3542.0,1
081,2001,2552.0,1
081,2003,2171.0,1
082,2001,2499.0,1
082,2003,2574.0,1
082,2007,4271.0,1
082,2012,3301.0,1
082,2013,2845.0,1
082,2014,2731.0,1
082,2015,2770.0,1
082,2016,3004.0,1
083,2001,2086.0,1
083,2002,2401.0,1
083,2003,3135.0,1
083,2004,3606.0,1
083,2005,3793.0,1
083,2006,4152.0,1
083,2007,4075.0,1
083,2008,3704.0,1
083,2009,3667.0,1
083,2010,3573.0,1
083,2011,3326.0,1
083,2012,2919.0,1
083,2013,2867.0,1
083,2014,2634.0,1
083,2015,2681.0,1
083,2016,2751.0,1
084,2001,2198.0,1
084,2002,2944.0,1
084,2003,3399.0,1
084,2004,3679.0,1
084,2005,3696.0,1
084,2006,3932.0,1
084,2007,3957.0,1
084,2008,3495.0,1
084,2009,3435.0,1
084,2010,3323.0,1
084,2011,3011.0,1
084,2012,2573.0,1
084,2013,2283.0,1
084,2014,2174.0,1
084,2015,2214.0,1
084,2016,2494.0,1
085,2001,2617.0,1
085,2002,3101.0,1
085,2003,3550.0,1
085,2004,3645.0,1
085,2005,3884.0,1
085,2006,4244.0,1
085,2007,4242.0,1
085,2008,4114.0,1
085,2009,3916.0,1
085,2010,3879.0,1
085,2011,3572.0,1
085,2012,3111.0,1
085,2013,3079.0,1
085,2014,2951.0,1
085,2015,2930.0,1
085,2016,2960.0,1
086,2009,3413.0,2
086,2010,3477.5,2
086,2011,3257.5,2
086,2012,2867.0,2
086,2013,2127.0,1
086,2014,1770.0,1
086,2015,2616.5,2
